No,Product Type,Keywords,Primary (Hex),Secondary (Hex),CTA (Hex),Background (Hex),Text (Hex),Border (Hex),Notes,Tailwind_Config,Glow_Effects,Dark_Mode_Colors,Semantic_Mapping,Data_Viz_Palette,Semantic_Tokens
11,Creative Agency,"creative, agency",#EC4899,#F472B6,#06B6D4,#FDF2F8,#831843,#FBCFE8,Bold primaries + artistic freedom,"{ primary: '#EC4899', secondary: '#F472B6', cta: '#06B6D4', background: '#FDF2F8', foreground: '#831843' }","box-shadow: 0 0 20px rgba(6,182,212,0.4); text-shadow: 0 0 10px rgba(6,182,212,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#EC4899', secondary: '#F472B6', cta: '#06B6D4', border: '#27272A' }","{""background"":""#FDF2F8"",""foreground"":""#831843"",""primary"":""#EC4899"",""primary-foreground"":""#000000"",""secondary"":""#F472B6"",""secondary-foreground"":""#000000"",""muted"":""#e0548c"",""accent"":""#06B6D4"",""destructive"":""#EF4444""}","[""#f6a4cc"",""#f176b3"",""#EC4899"",""#e71a7f"",""#bb1366"",""#f472b6"",""#f0439d""]","{""background"":""#FDF2F8"",""foreground"":""#831843"",""card"":""#FFFFFF"",""card-foreground"":""#831843"",""popover"":""#FFFFFF"",""popover-foreground"":""#831843"",""primary"":""#EC4899"",""primary-foreground"":""#000000"",""secondary"":""#F472B6"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#06B6D4"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#FBCFE8"",""input"":""#FBCFE8"",""ring"":""#EC4899""}"
12,Portfolio/Personal,"portfolio, personal",#18181B,#3F3F46,#2563EB,#FAFAFA,#09090B,#E4E4E7,Brand primary + artistic interpretation,"{ primary: '#18181B', secondary: '#3F3F46', cta: '#2563EB', background: '#FAFAFA', foreground: '#09090B' }","box-shadow: 0 0 20px rgba(37,99,235,0.4); text-shadow: 0 0 10px rgba(37,99,235,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#212125', secondary: '#51515B', cta: '#2C76FF', border: '#27272A' }","{""background"":""#FAFAFA"",""foreground"":""#09090B"",""primary"":""#18181B"",""primary-foreground"":""#FFFFFF"",""secondary"":""#3F3F46"",""secondary-foreground"":""#FFFFFF"",""muted"":""#4e4e5f"",""accent"":""#2563EB"",""destructive"":""#EF4444""}","[""#484851"",""#303036"",""#18181B"",""#000000"",""#000000"",""#3f3f46"",""#27272b""]","{""background"":""#FAFAFA"",""foreground"":""#09090B"",""card"":""#FFFFFF"",""card-foreground"":""#09090B"",""popover"":""#FFFFFF"",""popover-foreground"":""#09090B"",""primary"":""#18181B"",""primary-foreground"":""#FFFFFF"",""secondary"":""#3F3F46"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#2563EB"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E4E4E7"",""input"":""#E4E4E7"",""ring"":""#18181B""}"
13,Gaming,gaming,#7C3AED,#A78BFA,#F43F5E,#0F0F23,#E2E8F0,#4C1D95,Vibrant + neon + immersive colors,"{ primary: '#7C3AED', secondary: '#A78BFA', cta: '#F43F5E', background: '#0F0F23', foreground: '#E2E8F0' }","box-shadow: 0 0 20px rgba(244,63,94,0.4); text-shadow: 0 0 10px rgba(244,63,94,0.6);","{ background: '#0F0F23', text: '#E2E8F0', primary: '#7C3AED', secondary: '#A78BFA', cta: '#F43F5E', border: '#4C1D95' }","{""background"":""#0F0F23"",""foreground"":""#E2E8F0"",""primary"":""#7C3AED"",""primary-foreground"":""#FFFFFF"",""secondary"":""#A78BFA"",""secondary-foreground"":""#000000"",""muted"":""#ffffff"",""accent"":""#F43F5E"",""destructive"":""#EF4444""}","[""#ba97f6"",""#9b69f1"",""#7C3AED"",""#5f14e0"",""#4b10b1"",""#a78bfa"",""#825af8""]","{""background"":""#0F0F23"",""foreground"":""#E2E8F0"",""card"":""#1B1B2E"",""card-foreground"":""#E2E8F0"",""popover"":""#1B1B2E"",""popover-foreground"":""#E2E8F0"",""primary"":""#7C3AED"",""primary-foreground"":""#FFFFFF"",""secondary"":""#A78BFA"",""secondary-foreground"":""#000000"",""muted"":""#272739"",""muted-foreground"":""#A1A1AA"",""accent"":""#F43F5E"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#4C1D95"",""input"":""#333344"",""ring"":""#7C3AED""}"
14,Government/Public Service,"government, public, service",#0F172A,#334155,#0369A1,#F8FAFC,#020617,#E2E8F0,Professional blue + high contrast,"{ primary: '#0F172A', secondary: '#334155', cta: '#0369A1', background: '#F8FAFC', foreground: '#020617' }","box-shadow: 0 0 20px rgba(3,105,161,0.4); text-shadow: 0 0 10px rgba(3,105,161,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#15203A', secondary: '#42546E', cta: '#037EC1', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#020617"",""primary"":""#0F172A"",""primary-foreground"":""#FFFFFF"",""secondary"":""#334155"",""secondary-foreground"":""#FFFFFF"",""muted"":""#0e2ba4"",""accent"":""#0369A1"",""destructive"":""#EF4444""}","[""#2a4075"",""#1c2c50"",""#0F172A"",""#020204"",""#000000"",""#334155"",""#202935""]","{""background"":""#F8FAFC"",""foreground"":""#020617"",""card"":""#FFFFFF"",""card-foreground"":""#020617"",""popover"":""#FFFFFF"",""popover-foreground"":""#020617"",""primary"":""#0F172A"",""primary-foreground"":""#FFFFFF"",""secondary"":""#334155"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#0369A1"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#0F172A""}"
15,Fintech/Crypto,"fintech, crypto",#F59E0B,#FBBF24,#8B5CF6,#0F172A,#F8FAFC,#334155,Dark tech colors + trust + vibrant accents,"{ primary: '#F59E0B', secondary: '#FBBF24', cta: '#8B5CF6', background: '#0F172A', foreground: '#F8FAFC' }","box-shadow: 0 0 20px rgba(139,92,246,0.4); text-shadow: 0 0 10px rgba(139,92,246,0.6);","{ background: '#0F172A', text: '#F8FAFC', primary: '#F59E0B', secondary: '#FBBF24', cta: '#8B5CF6', border: '#334155' }","{""background"":""#0F172A"",""foreground"":""#F8FAFC"",""primary"":""#F59E0B"",""primary-foreground"":""#000000"",""secondary"":""#FBBF24"",""secondary-foreground"":""#000000"",""muted"":""#ffffff"",""accent"":""#8B5CF6"",""destructive"":""#EF4444""}","[""#f9c56d"",""#f7b13c"",""#F59E0B"",""#c57f08"",""#945f06"",""#fbbf24"",""#e8a804""]","{""background"":""#0F172A"",""foreground"":""#F8FAFC"",""card"":""#1B2234"",""card-foreground"":""#F8FAFC"",""popover"":""#1B2234"",""popover-foreground"":""#F8FAFC"",""primary"":""#F59E0B"",""primary-foreground"":""#000000"",""secondary"":""#FBBF24"",""secondary-foreground"":""#000000"",""muted"":""#272E3F"",""muted-foreground"":""#A1A1AA"",""accent"":""#8B5CF6"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#334155"",""input"":""#333949"",""ring"":""#F59E0B""}"
16,Social Media App,"social, media, app",#2563EB,#60A5FA,#F43F5E,#F8FAFC,#1E293B,#DBEAFE,Vibrant + engagement colors,"{ primary: '#2563EB', secondary: '#60A5FA', cta: '#F43F5E', background: '#F8FAFC', foreground: '#1E293B' }","box-shadow: 0 0 20px rgba(244,63,94,0.4); text-shadow: 0 0 10px rgba(244,63,94,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#2563EB', secondary: '#60A5FA', cta: '#F43F5E', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""primary"":""#2563EB"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#526fa0"",""accent"":""#F43F5E"",""destructive"":""#EF4444""}","[""#82a6f4"",""#5484ef"",""#2563EB"",""#134cca"",""#0e3b9c"",""#60a5fa"",""#2f89f8""]","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""card"":""#FFFFFF"",""card-foreground"":""#1E293B"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E293B"",""primary"":""#2563EB"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#F43F5E"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#DBEAFE"",""input"":""#DBEAFE"",""ring"":""#2563EB""}"
17,Productivity Tool,"productivity, tool, task, notion, todoist, linear",#37352F,#448361,#D44C47,#FFFFFF,#37352F,#E9E9E7,Notion/Linear-inspired 2026: Monochrome base #37352F + status green #448361 (done) + urgent red CTA #D44C47 + focus-friendly off-white,"{ primary: '#37352F', secondary: '#448361', cta: '#D44C47', background: '#FFFFFF', foreground: '#37352F' }","box-shadow: 0 0 16px rgba(68,131,97,0.3); text-shadow: 0 0 8px rgba(212,76,71,0.4);","{ background: '#2F3438', text: '#E3E2E0', primary: '#9B9A97', secondary: '#4DAB9A', cta: '#FF7369', border: '#373C3F' }","{""background"":""#FFFFFF"",""foreground"":""#37352F"",""primary"":""#37352F"",""primary-foreground"":""#FFFFFF"",""secondary"":""#448361"",""secondary-foreground"":""#FFFFFF"",""muted"":""#9B9A97"",""accent"":""#D9730D"",""destructive"":""#D44C47""}","[""#D44C47"",""#EB5757"",""#D9730D"",""#CB912F"",""#448361"",""#4DAB9A"",""#37352F""]","{""background"":""#FFFFFF"",""foreground"":""#37352F"",""card"":""#FFFFFF"",""card-foreground"":""#37352F"",""popover"":""#F7F6F3"",""popover-foreground"":""#37352F"",""primary"":""#37352F"",""primary-foreground"":""#FFFFFF"",""secondary"":""#448361"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F7F6F3"",""muted-foreground"":""#9B9A97"",""accent"":""#D9730D"",""accent-foreground"":""#FFFFFF"",""destructive"":""#D44C47"",""destructive-foreground"":""#FFFFFF"",""border"":""#E9E9E7"",""input"":""#E9E9E7"",""ring"":""#37352F""}"
18,Design System/Component Library,"design, system, component, library, shadcn, radix, tokens, semantic, neutral, scalable",#020617,#64748B,#6366F1,#FFFFFF,#020617,#E2E8F0,2026 Modern Design System: Radix 12-step slate scale foundation + shadcn semantic tokens + WCAG AA contrast + Indigo-9 accent #6366F1 + Scalable neutral grayscale (slate-1 to slate-12) + Component states (hover +2 steps / active +4 / focus ring) + Material Design 3 expressive inspired,"{ primary: '#020617', secondary: '#64748B', cta: '#6366F1', background: '#FFFFFF', foreground: '#020617' }","box-shadow: 0 0 20px rgba(99,102,241,0.35); text-shadow: 0 0 10px rgba(99,102,241,0.5);","{ background: '#020617', text: '#F8FAFC', primary: '#F8FAFC', secondary: '#94A3B8', cta: '#818CF8', border: '#1E293B' }","{""background"":""#FFFFFF"",""foreground"":""#020617"",""primary"":""#020617"",""primary-foreground"":""#FFFFFF"",""secondary"":""#64748B"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F1F5F9"",""accent"":""#6366F1"",""destructive"":""#EF4444"",""success"":""#22C55E"",""warning"":""#F59E0B"",""info"":""#3B82F6""}","[""#F8FAFC"",""#F1F5F9"",""#E2E8F0"",""#CBD5E1"",""#94A3B8"",""#64748B"",""#475569"",""#334155"",""#1E293B"",""#0F172A"",""#020617""]","{""background"":""#FFFFFF"",""foreground"":""#020617"",""card"":""#FFFFFF"",""card-foreground"":""#020617"",""popover"":""#FFFFFF"",""popover-foreground"":""#020617"",""primary"":""#020617"",""primary-foreground"":""#FFFFFF"",""secondary"":""#F1F5F9"",""secondary-foreground"":""#020617"",""muted"":""#F1F5F9"",""muted-foreground"":""#64748B"",""accent"":""#6366F1"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""success"":""#22C55E"",""success-foreground"":""#FFFFFF"",""warning"":""#F59E0B"",""warning-foreground"":""#000000"",""info"":""#3B82F6"",""info-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#6366F1""}"
19,AI/Chatbot Platform,"chatbot, platform",#7C3AED,#A78BFA,#06B6D4,#FAF5FF,#1E1B4B,#DDD6FE,Neutral + AI Purple (#6366F1),"{ primary: '#7C3AED', secondary: '#A78BFA', cta: '#06B6D4', background: '#FAF5FF', foreground: '#1E1B4B' }","box-shadow: 0 0 20px rgba(6,182,212,0.4); text-shadow: 0 0 10px rgba(6,182,212,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#7C3AED', secondary: '#A78BFA', cta: '#06B6D4', border: '#27272A' }","{""background"":""#FAF5FF"",""foreground"":""#1E1B4B"",""primary"":""#7C3AED"",""primary-foreground"":""#FFFFFF"",""secondary"":""#A78BFA"",""secondary-foreground"":""#000000"",""muted"":""#4b44bb"",""accent"":""#06B6D4"",""destructive"":""#EF4444""}","[""#ba97f6"",""#9b69f1"",""#7C3AED"",""#5f14e0"",""#4b10b1"",""#a78bfa"",""#825af8""]","{""background"":""#FAF5FF"",""foreground"":""#1E1B4B"",""card"":""#FFFFFF"",""card-foreground"":""#1E1B4B"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E1B4B"",""primary"":""#7C3AED"",""primary-foreground"":""#FFFFFF"",""secondary"":""#A78BFA"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#06B6D4"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#DDD6FE"",""input"":""#DDD6FE"",""ring"":""#7C3AED""}"
20,NFT/Web3 Platform,"nft, web3, platform, opensea, blur, metamask, blockchain, crypto, marketplace",#1D50F1,#9404DC,#F23567,#0A0A14,#F8FAFC,#22255A,2026 Cyberpunk Web3: Electric blue #1D50F1 (OpenSea/blockchain trust) + Purple #9404DC (futurism) + Pink CTA #F23567 (engagement) + Deep dark BG + Rarity tiers (Common→Legendary),"{ primary: '#1D50F1', secondary: '#9404DC', cta: '#F23567', background: '#0A0A14', foreground: '#F8FAFC' }","box-shadow: 0 0 25px rgba(29,80,241,0.5), 0 0 50px rgba(148,4,220,0.3); text-shadow: 0 0 15px rgba(242,53,103,0.7);","{ background: '#0A0A14', text: '#F8FAFC', primary: '#1D50F1', secondary: '#9404DC', cta: '#F23567', border: '#22255A' }","{""background"":""#0A0A14"",""foreground"":""#F8FAFC"",""primary"":""#1D50F1"",""primary-foreground"":""#FFFFFF"",""secondary"":""#9404DC"",""secondary-foreground"":""#FFFFFF"",""muted"":""#22255A"",""accent"":""#D075FF"",""destructive"":""#FF4757""}","[""#799EB2"",""#00AEE6"",""#BAF24A"",""#D075FF"",""#F23567"",""#9404DC"",""#1D50F1""]","{""background"":""#0A0A14"",""foreground"":""#F8FAFC"",""card"":""#12121F"",""card-foreground"":""#F8FAFC"",""popover"":""#1A1A2E"",""popover-foreground"":""#F8FAFC"",""primary"":""#1D50F1"",""primary-foreground"":""#FFFFFF"",""secondary"":""#9404DC"",""secondary-foreground"":""#FFFFFF"",""muted"":""#22255A"",""muted-foreground"":""#8C749C"",""accent"":""#D075FF"",""accent-foreground"":""#000000"",""destructive"":""#FF4757"",""destructive-foreground"":""#FFFFFF"",""border"":""#22255A"",""input"":""#1A1A2E"",""ring"":""#1D50F1""}"
21,Creator Economy Platform,"creator, economy, platform, patreon, substack, gumroad, kofi, monetization, subscription, fan, membership",#F96854,#72A5F2,#C19BFF,#FFFBF8,#052D49,#FFE4DC,2026 Creator Economy: Patreon coral #F96854 (monetization) + Ko-fi blue #72A5F2 (fan engagement) + Purple CTA #C19BFF (premium tiers) + Warm canvas BG + Subscription tier accents,"{ primary: '#F96854', secondary: '#72A5F2', cta: '#C19BFF', background: '#FFFBF8', foreground: '#052D49' }","box-shadow: 0 0 20px rgba(249,104,84,0.4); text-shadow: 0 0 12px rgba(193,155,255,0.5);","{ background: '#0F1419', text: '#F8FAFC', primary: '#F96854', secondary: '#72A5F2', cta: '#C19BFF', border: '#1E3A5F' }","{""background"":""#FFFBF8"",""foreground"":""#052D49"",""primary"":""#F96854"",""primary-foreground"":""#FFFFFF"",""secondary"":""#72A5F2"",""secondary-foreground"":""#000000"",""muted"":""#8B9CAF"",""accent"":""#C19BFF"",""destructive"":""#EF4444""}","[""#FF9180"",""#F96854"",""#E04D3A"",""#72A5F2"",""#5090E8"",""#C19BFF"",""#A67AE8""]","{""background"":""#FFFBF8"",""foreground"":""#052D49"",""card"":""#FFFFFF"",""card-foreground"":""#052D49"",""popover"":""#FFFFFF"",""popover-foreground"":""#052D49"",""primary"":""#F96854"",""primary-foreground"":""#FFFFFF"",""secondary"":""#72A5F2"",""secondary-foreground"":""#000000"",""muted"":""#FFF5F2"",""muted-foreground"":""#8B9CAF"",""accent"":""#C19BFF"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#FFE4DC"",""input"":""#FFE4DC"",""ring"":""#F96854""}"
22,Sustainability/ESG Platform,"sustainability, esg, platform",#507B00,#4EB08F,#95C22B,#F5F5F5,#28430A,#D4ECE4,2026 Eco palette: Avocado green + Ocean teal + Yellow-green CTA for environmental UI,"{ primary: '#507B00', secondary: '#4EB08F', cta: '#95C22B', background: '#F5F5F5', foreground: '#28430A' }","box-shadow: 0 0 20px rgba(149,194,43,0.4); text-shadow: 0 0 10px rgba(149,194,43,0.6);","{ background: '#0A0F0A', text: '#F5F5F5', primary: '#507B00', secondary: '#4EB08F', cta: '#95C22B', border: '#285B4A' }","{""background"":""#F5F5F5"",""foreground"":""#28430A"",""primary"":""#507B00"",""primary-foreground"":""#FFFFFF"",""secondary"":""#4EB08F"",""secondary-foreground"":""#000000"",""muted"":""#5C8E8C"",""accent"":""#95C22B"",""destructive"":""#EF4444""}","[""#a7d930"",""#7ba318"",""#507B00"",""#385600"",""#253900"",""#4eb08f"",""#3d9a7a""]","{""background"":""#F5F5F5"",""foreground"":""#28430A"",""card"":""#FFFFFF"",""card-foreground"":""#28430A"",""popover"":""#FFFFFF"",""popover-foreground"":""#28430A"",""primary"":""#507B00"",""primary-foreground"":""#FFFFFF"",""secondary"":""#4EB08F"",""secondary-foreground"":""#000000"",""muted"":""#E8F5E9"",""muted-foreground"":""#5C8E8C"",""accent"":""#95C22B"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#D4ECE4"",""input"":""#D4ECE4"",""ring"":""#507B00""}"
23,Remote Work/Collaboration Tool,"remote, work, collaboration, tool, hybrid, slack, zoom, notion, presence, video, meeting",#4A7CF5,#22C55E,#BD13B8,#111827,#F8FAFC,#1E293B,2026 Hybrid Work: Midnight blue #4A7CF5 (focus mode) + Presence green #22C55E (online status) + Focus purple CTA #BD13B8 (do not disturb) + Dark BG reduces eye fatigue + Status indicators (green=online yellow=away red=busy gray=offline),"{ primary: '#4A7CF5', secondary: '#22C55E', cta: '#BD13B8', background: '#111827', foreground: '#F8FAFC' }","box-shadow: 0 0 20px rgba(74,124,245,0.4); text-shadow: 0 0 12px rgba(189,19,184,0.5);","{ background: '#111827', text: '#F8FAFC', primary: '#4A7CF5', secondary: '#22C55E', cta: '#BD13B8', border: '#1E293B' }","{""background"":""#111827"",""foreground"":""#F8FAFC"",""primary"":""#4A7CF5"",""primary-foreground"":""#FFFFFF"",""secondary"":""#22C55E"",""secondary-foreground"":""#000000"",""muted"":""#374151"",""accent"":""#BD13B8"",""destructive"":""#EF4444""}","[""#22C55E"",""#FBBF24"",""#EF4444"",""#6B7280"",""#4A7CF5"",""#BD13B8"",""#8B5CF6""]","{""background"":""#111827"",""foreground"":""#F8FAFC"",""card"":""#1F2937"",""card-foreground"":""#F8FAFC"",""popover"":""#1F2937"",""popover-foreground"":""#F8FAFC"",""primary"":""#4A7CF5"",""primary-foreground"":""#FFFFFF"",""secondary"":""#22C55E"",""secondary-foreground"":""#000000"",""muted"":""#374151"",""muted-foreground"":""#9CA3AF"",""accent"":""#BD13B8"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#1E293B"",""input"":""#374151"",""ring"":""#4A7CF5""}"
24,Mental Health App,"mental, health, app, wellness, mindfulness, meditation, calm, headspace, betterhelp, therapy, anxiety, stress",#A7C7E7,#B7E4C7,#F5C6AA,#FDF8F3,#2D4A3E,#E8DFF5,2026 Therapeutic Wellness: Serene sky blue #A7C7E7 (mental clarity/tranquility) + Forest sage #B7E4C7 (nature balance/renewal) + Warm peach CTA #F5C6AA (gentle encouragement) + Soft cream BG + Calming lavender accents (Calm/Headspace-inspired),"{ primary: '#A7C7E7', secondary: '#B7E4C7', cta: '#F5C6AA', background: '#FDF8F3', foreground: '#2D4A3E' }","box-shadow: 0 0 25px rgba(167,199,231,0.3); text-shadow: 0 0 12px rgba(183,228,199,0.4);","{ background: '#1A2421', text: '#F5F5F0', primary: '#A7C7E7', secondary: '#B7E4C7', cta: '#F5C6AA', border: '#2D4A3E' }","{""background"":""#FDF8F3"",""foreground"":""#2D4A3E"",""primary"":""#A7C7E7"",""primary-foreground"":""#1A2421"",""secondary"":""#B7E4C7"",""secondary-foreground"":""#1A2421"",""muted"":""#D8BFD8"",""accent"":""#F5C6AA"",""destructive"":""#E57373""}","[""#E8DFF5"",""#D8BFD8"",""#A7C7E7"",""#B7E4C7"",""#90C4A8"",""#F5C6AA"",""#AFEEEE""]","{""background"":""#FDF8F3"",""foreground"":""#2D4A3E"",""card"":""#FFFFFF"",""card-foreground"":""#2D4A3E"",""popover"":""#FEFEFE"",""popover-foreground"":""#2D4A3E"",""primary"":""#A7C7E7"",""primary-foreground"":""#1A2421"",""secondary"":""#B7E4C7"",""secondary-foreground"":""#1A2421"",""muted"":""#F5F0E8"",""muted-foreground"":""#5C7A6E"",""accent"":""#F5C6AA"",""accent-foreground"":""#2D4A3E"",""destructive"":""#E57373"",""destructive-foreground"":""#FFFFFF"",""border"":""#E8DFF5"",""input"":""#E8DFF5"",""ring"":""#A7C7E7""}"
25,Pet Tech App,"pet, tech, app, smart collar, gps tracker, fi, whistle, pet safety, wearable, pet health, dog tracker",#FF7F50,#0077B6,#FFCC00,#FFFBF8,#708090,#FFE4DC,2026 Pet Tech: Playful coral #FF7F50 (Fi/Whistle-inspired engagement + GPS alerts) + Ocean blue #0077B6 (trust/navigation paths) + Sunshine yellow CTA #FFCC00 (safe zone confirmations/notifications) + Warm canvas BG #FFFBF8 + Slate gray text #708090 + Pet status indicators (green=#98FB98 healthy/online coral=#FF7F50 attention yellow=#FFCC00 alert) + Modern smart collar aesthetic,"{ primary: '#FF7F50', secondary: '#0077B6', cta: '#FFCC00', background: '#FFFBF8', foreground: '#708090' }","box-shadow: 0 0 20px rgba(255,127,80,0.4); text-shadow: 0 0 12px rgba(255,204,0,0.5);","{ background: '#1A1A2E', text: '#F8FAFC', primary: '#FF9070', secondary: '#2090D0', cta: '#FFD633', border: '#2D2D44' }","{""background"":""#FFFBF8"",""foreground"":""#708090"",""primary"":""#FF7F50"",""primary-foreground"":""#FFFFFF"",""secondary"":""#0077B6"",""secondary-foreground"":""#FFFFFF"",""muted"":""#FFE4DC"",""accent"":""#FFCC00"",""destructive"":""#EF4444"",""success"":""#98FB98"",""warning"":""#FFCC00""}","[""#98FB98"",""#FF7F50"",""#FFCC00"",""#0077B6"",""#FFB6C1"",""#4DBFD9"",""#DAA520""]","{""background"":""#FFFBF8"",""foreground"":""#708090"",""card"":""#FFFFFF"",""card-foreground"":""#708090"",""popover"":""#FFFFFF"",""popover-foreground"":""#708090"",""primary"":""#FF7F50"",""primary-foreground"":""#FFFFFF"",""secondary"":""#0077B6"",""secondary-foreground"":""#FFFFFF"",""muted"":""#FFF5F2"",""muted-foreground"":""#8B9A9C"",""accent"":""#FFCC00"",""accent-foreground"":""#1A1A1A"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""success"":""#98FB98"",""success-foreground"":""#1A1A1A"",""warning"":""#FFCC00"",""warning-foreground"":""#1A1A1A"",""border"":""#FFE4DC"",""input"":""#FFE4DC"",""ring"":""#FF7F50""}"
26,Smart Home/IoT Dashboard,"smart, home, iot, dashboard, google home, alexa, homekit, automation, device, energy",#3D5A80,#10B981,#F59E0B,#131A22,#E8ECF0,#2A3441,2026 Smart Home: Deep tech blue #3D5A80 (Google Home/Alexa trust) + Energy green #10B981 (active device status) + Amber CTA #F59E0B (warnings/alerts) + Dark ambient BG #131A22 (eye comfort) + Status indicators (green=on orange=warning red=off) + Room-based earthy overlays,"{ primary: '#3D5A80', secondary: '#10B981', cta: '#F59E0B', background: '#131A22', foreground: '#E8ECF0' }","box-shadow: 0 0 20px rgba(16,185,129,0.4); text-shadow: 0 0 12px rgba(245,158,11,0.5);","{ background: '#131A22', text: '#E8ECF0', primary: '#3D5A80', secondary: '#10B981', cta: '#F59E0B', border: '#2A3441' }","{""background"":""#131A22"",""foreground"":""#E8ECF0"",""primary"":""#3D5A80"",""primary-foreground"":""#FFFFFF"",""secondary"":""#10B981"",""secondary-foreground"":""#000000"",""muted"":""#2A3441"",""accent"":""#F59E0B"",""destructive"":""#EF4444""}","[""#10B981"",""#F59E0B"",""#EF4444"",""#6B7280"",""#3D5A80"",""#5B7AA5"",""#8B5CF6""]","{""background"":""#131A22"",""foreground"":""#E8ECF0"",""card"":""#1E2832"",""card-foreground"":""#E8ECF0"",""popover"":""#1E2832"",""popover-foreground"":""#E8ECF0"",""primary"":""#3D5A80"",""primary-foreground"":""#FFFFFF"",""secondary"":""#10B981"",""secondary-foreground"":""#000000"",""muted"":""#2A3441"",""muted-foreground"":""#9CA3AF"",""accent"":""#F59E0B"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#2A3441"",""input"":""#1E2832"",""ring"":""#3D5A80""}"
