"STT","Style Category","Type","Keywords","Primary Colors","Secondary Colors","Effects & Animation","Best For","Do Not Use For","Light Mode ✓","Dark Mode ✓","Performance","Accessibility","Mobile-Friendly","Conversion-Focused","Framework Compatibility","Era/Origin","Complexity","CSS_Code","Motion_Config","Animation_Variants"
"68","Neo-Skeuomorphism","General","Realistic 3D, tactile, physical metaphors, depth, material design, tangible interfaces","Rich realistic: Leather #8B4513, Metal #C0C0C0, Wood #DEB887, Glass #E8F4F8","Material-specific gradients, realistic lighting, texture overlays","Tactile press animations (300-400ms), material-specific feedback, realistic shadows","Premium apps, gaming interfaces, luxury products, music apps, creative tools","Flat design systems, minimalist brands, accessibility-first","◐ Partial","◐ Partial","⚠ Moderate","⚠ Texture readability","◐ Medium","◐ Medium","CSS-in-JS 8/10, Custom 9/10","2024+ Revival","High",".neo-skeu { background: linear-gradient(180deg, #E8E8E8 0%, #C0C0C0 50%, #A0A0A0 100%); border-radius: 12px; box-shadow: 0 6px 20px rgba(0,0,0,0.3), inset 0 2px 0 rgba(255,255,255,0.5), inset 0 -2px 0 rgba(0,0,0,0.1); transition: all 300ms ease; } .neo-skeu:active { transform: translateY(2px); box-shadow: 0 2px 8px rgba(0,0,0,0.3), inset 0 2px 0 rgba(255,255,255,0.3); } .neo-skeu-leather { background: linear-gradient(180deg, #A0522D 0%, #8B4513 50%, #6B3410 100%); } .neo-skeu-wood { background: linear-gradient(180deg, #DEB887 0%, #D2B48C 50%, #C4A882 100%); } .neo-skeu-glass { background: rgba(232,244,248,0.8); backdrop-filter: blur(10px); }","{""type"":""spring"",""stiffness"":100,""damping"":15}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"69","Data Maximalism","BI/Analytics","Information-dense, organized complexity, high data density, structured chaos, power user","Neutral base #F8FAFC, Category colors for data series, High contrast text #0F172A","Data type specific: Positive #22C55E, Negative #EF4444, Neutral #64748B, Highlight #F59E0B","Hover reveals, progressive disclosure, collapsible sections, zoom interactions","Trading platforms, analytics dashboards, developer tools, research platforms, power user apps","Consumer apps, onboarding flows, mobile-first, elderly users","✓ Full","✓ Full","⚡ Excellent","⚠ Complexity","✗ Low","✗ N/A","D3.js 10/10, AG Grid 10/10, Recharts 9/10","2024+ Pro Tools","High",".data-max { background: #F8FAFC; color: #0F172A; font-family: 'SF Mono', 'Roboto Mono', monospace; font-size: 12px; } .data-max-grid { display: grid; grid-template-columns: repeat(auto-fit, minmax(200px, 1fr)); gap: 8px; } .data-max-cell { padding: 8px; border: 1px solid #E2E8F0; } .data-max-cell:hover { background: #F1F5F9; } .data-max-positive { color: #22C55E; } .data-max-negative { color: #EF4444; } .data-max-highlight { background: #FEF3C7; } .data-max-collapse { max-height: 0; overflow: hidden; transition: max-height 200ms ease; } .data-max-collapse.open { max-height: 1000px; }","{""type"":""spring"",""stiffness"":100,""damping"":15}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"70","Ambient Computing UI","General","Contextual, invisible, zero-UI, calm technology, proactive, environment-aware, seamless","Near-invisible: Soft White #FAFAFA, Gentle Grey #E5E7EB, Ambient accents","Context-triggered colors, environment-responsive","Subtle presence indicators, context-aware reveals, ambient notifications, fade transitions","Smart home, IoT dashboards, ambient displays, contextual assistants, background apps","Complex workflows, data entry, explicit control required","✓ Full","✓ Full","⚡ Excellent","✓ WCAG AA","✓ High","◐ Medium","React 10/10, Tailwind 10/10, Custom 10/10","2024+ AI-Era","Low",".ambient { background: #FAFAFA; color: #374151; } .ambient-hidden { opacity: 0; transform: translateY(10px); transition: all 500ms ease; } .ambient-hidden.visible { opacity: 1; transform: translateY(0); } .ambient-notification { background: rgba(255,255,255,0.9); backdrop-filter: blur(8px); border-radius: 12px; padding: 16px; box-shadow: 0 4px 12px rgba(0,0,0,0.05); animation: ambient-fade 300ms ease; } @keyframes ambient-fade { from { opacity: 0; transform: scale(0.95); } to { opacity: 1; transform: scale(1); } } .ambient-indicator { width: 8px; height: 8px; background: #E5E7EB; border-radius: 50%; transition: background 300ms ease; } .ambient-indicator.active { background: #10B981; }","{""type"":""spring"",""stiffness"":100,""damping"":15}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"71","Agentic Interface","General","AI agent, autonomous, copilot, multi-step workflow, tool use, reasoning, agent chain, Claude, ChatGPT, task orchestration","Neutral base #F8FAFC, AI Purple #7C3AED, Success #10B981, Warning #F59E0B, Processing Blue #3B82F6","Status: Thinking #FDE68A, Acting #93C5FD, Complete #BBF7D0, Error #FECACA, Pending #E5E7EB","Thinking pulse (3-dot), step-by-step reveals, action preview cards, confidence indicators, tool execution spinners","AI assistants, autonomous agents, copilot UIs, workflow automation, Claude/ChatGPT interfaces, task managers","Static forms, traditional CRUD, content-heavy blogs, print-first layouts","✓ Full","✓ Full","⚡ Excellent","✓ WCAG AA","✓ High","✓ High","React 10/10, Tailwind 10/10, Framer Motion 9/10","2026 AI-Native","Medium",".agentic { background: #F8FAFC; } .agent-step { border-left: 3px solid #E5E7EB; padding: 16px; margin: 8px 0; transition: all 300ms ease; } .agent-step.thinking { border-color: #F59E0B; background: #FFFBEB; } .agent-step.acting { border-color: #3B82F6; background: #EFF6FF; } .agent-step.complete { border-color: #10B981; background: #ECFDF5; } .agent-thinking-dots { display: flex; gap: 6px; } .agent-thinking-dots span { width: 8px; height: 8px; background: #F59E0B; border-radius: 50%; animation: agent-bounce 1.4s infinite; } .agent-thinking-dots span:nth-child(2) { animation-delay: 0.2s; } .agent-thinking-dots span:nth-child(3) { animation-delay: 0.4s; } @keyframes agent-bounce { 0%, 60%, 100% { transform: translateY(0); } 30% { transform: translateY(-8px); } } .agent-tool { background: #F3F4F6; border-radius: 8px; padding: 12px; font-family: monospace; }","{""type"":""spring"",""stiffness"":120,""damping"":14}","{""hidden"":{""opacity"":0,""x"":-20},""visible"":{""opacity"":1,""x"":0},""thinking"":{""opacity"":[0.5,1],""transition"":{""repeat"":""Infinity"",""duration"":1}},""complete"":{""scale"":[1,1.02,1]}}"
"72","Streaming UI","General","Token streaming, real-time generation, typewriter effect, LLM output, live text, ChatGPT-style, incremental render, cursor blink","Dark terminal #0F172A, Soft white #F1F5F9, Cursor green #22C55E, Code block #1E293B","Token highlight #FBBF24, Selection #3B82F6, Link #60A5FA, Inline code #E2E8F0","Token-by-token fade-in (50ms), cursor blink (530ms), smooth auto-scroll, code block syntax highlighting","AI chat interfaces, LLM applications, code generation tools, real-time assistants, streaming APIs","Static content, forms, dashboards, data tables, print layouts","✓ Full","✓ Full (dark native)","⚡ Excellent","✓ WCAG AA","✓ High","✓ High","React 10/10, Tailwind 10/10, Vanilla JS 9/10","2026 AI-Native","Low",".streaming-ui { background: #0F172A; color: #F1F5F9; font-family: system-ui, -apple-system, sans-serif; line-height: 1.7; } .streaming-text { display: inline; } .streaming-token { opacity: 0; animation: token-fade 150ms ease forwards; } @keyframes token-fade { to { opacity: 1; } } .streaming-cursor { display: inline-block; width: 2px; height: 1.2em; background: #22C55E; margin-left: 2px; animation: cursor-blink 1.06s step-end infinite; } @keyframes cursor-blink { 0%, 100% { opacity: 1; } 50% { opacity: 0; } } .streaming-container { max-height: 70vh; overflow-y: auto; scroll-behavior: smooth; } .streaming-code { background: #1E293B; border-radius: 8px; padding: 16px; font-family: monospace; font-size: 14px; overflow-x: auto; }","{""type"":""tween"",""ease"":""linear"",""duration"":0.05}","{""hidden"":{""opacity"":0},""visible"":{""opacity"":1,""transition"":{""staggerChildren"":0.02}},""token"":{""opacity"":[0,1],""transition"":{""duration"":0.1}}}"
"73","Spatial UI 3D","General","Vision Pro, AR/VR, spatial computing, depth layers, floating panels, 3D transforms, z-axis, immersive, glass cards, perspective","Deep space #000814, Glass white rgba(255,255,255,0.12), System blue #007AFF, Highlight #5856D6","Depth shadow layers, ambient glow #7C3AED, Focus ring #0A84FF, Surface tint rgba(255,255,255,0.05)","Z-depth parallax, gaze-hover scale (1.03), pinch-select feedback, floating card hover, perspective transforms","VisionOS apps, AR/VR interfaces, spatial dashboards, immersive experiences, 3D product showcases, Apple ecosystem","2D-only platforms, low-end devices, text-heavy content, accessibility-critical apps","✓ Full","✓ Full (dark native)","⚠ Moderate (GPU)","⚠ Depth perception","◐ Medium","✓ High","Three.js 10/10, R3F 10/10, SwiftUI 10/10, CSS 8/10","2026 Spatial Era","High",".spatial-3d { perspective: 1000px; transform-style: preserve-3d; } .spatial-panel { background: rgba(255,255,255,0.12); backdrop-filter: blur(60px) saturate(180%); -webkit-backdrop-filter: blur(60px) saturate(180%); border-radius: 32px; border: 1px solid rgba(255,255,255,0.18); box-shadow: 0 25px 50px rgba(0,0,0,0.25), 0 0 0 1px rgba(255,255,255,0.1) inset; transition: all 400ms cubic-bezier(0.4, 0, 0.2, 1); } .spatial-panel:hover { transform: scale(1.03) translateZ(30px); box-shadow: 0 35px 70px rgba(0,0,0,0.3), 0 0 0 1px rgba(255,255,255,0.15) inset; } .spatial-depth-1 { transform: translateZ(0); } .spatial-depth-2 { transform: translateZ(50px); } .spatial-depth-3 { transform: translateZ(100px); } .spatial-glow { box-shadow: 0 0 40px rgba(124,58,237,0.3); } @keyframes spatial-float { 0%, 100% { transform: translateY(0) translateZ(0); } 50% { transform: translateY(-10px) translateZ(20px); } }","{""type"":""spring"",""stiffness"":60,""damping"":20,""mass"":1.5}","{""hidden"":{""opacity"":0,""z"":-100,""scale"":0.9},""visible"":{""opacity"":1,""z"":0,""scale"":1},""hover"":{""z"":30,""scale"":1.03},""focus"":{""boxShadow"":""0 0 0 4px rgba(10,132,255,0.5)""}}"
"74","Voice UI","General","Voice-first, audio interface, hands-free, accessibility, speech recognition, audio visualization, waveform, listening state","Minimal chrome #FAFAFA, Voice active #7C3AED, Listening #3B82F6, Speaking #10B981, Error #EF4444","Waveform gradient #818CF8 to #C084FC, Silence state #D1D5DB, Feedback pulse #A78BFA","Audio waveform animation, listening pulse ring, speaking indicator bars, voice activity detection, state transitions","Voice assistants, accessibility tools, hands-free apps, car interfaces, smart speakers, dictation tools","Visual-heavy dashboards, complex forms, data tables, image galleries","✓ Full","✓ Full","⚡ Excellent","✓ Excellent (voice-native)","✓ High","✓ High","React 10/10, Web Audio API 10/10, Tailwind 9/10","2026 AI-Native","Medium",".voice-ui { background: #FAFAFA; display: flex; flex-direction: column; align-items: center; justify-content: center; min-height: 100vh; } .voice-orb { width: 120px; height: 120px; border-radius: 50%; background: linear-gradient(135deg, #818CF8, #C084FC); transition: all 300ms ease; } .voice-orb.listening { animation: voice-pulse 2s ease-in-out infinite; box-shadow: 0 0 0 0 rgba(124,58,237,0.4); } @keyframes voice-pulse { 0%, 100% { transform: scale(1); box-shadow: 0 0 0 0 rgba(124,58,237,0.4); } 50% { transform: scale(1.05); box-shadow: 0 0 0 20px rgba(124,58,237,0); } } .voice-waveform { display: flex; align-items: center; gap: 3px; height: 40px; } .voice-waveform span { width: 4px; background: #7C3AED; border-radius: 2px; animation: wave-bar 1s ease-in-out infinite; } .voice-waveform span:nth-child(odd) { animation-delay: 0.2s; } @keyframes wave-bar { 0%, 100% { height: 8px; } 50% { height: 32px; } } .voice-transcript { font-size: 1.5rem; text-align: center; max-width: 600px; color: #1F2937; }","{""type"":""spring"",""stiffness"":100,""damping"":18}","{""hidden"":{""opacity"":0,""scale"":0.8},""visible"":{""opacity"":1,""scale"":1},""listening"":{""scale"":[1,1.05,1],""transition"":{""repeat"":""Infinity"",""duration"":2}},""speaking"":{""scale"":1.02,""boxShadow"":""0 0 30px rgba(16,185,129,0.4)""}}"
"75","Scroll-Driven Animation","General","scroll-driven, animation-timeline, parallax, reveal, scroll-linked, scroll-triggered, viewport animation, CSS scroll","Neutral base #F8FAFC, Reveal accent #3B82F6, Parallax depth #1E293B, Highlight #10B981","Scroll progress #60A5FA, Fade gradient rgba(255,255,255,0), Section divider #E2E8F0","Scroll-linked transforms, viewport reveal animations, parallax depth effects, progress indicators, fade-in on scroll","Modern landing pages, scroll storytelling, product showcases, portfolio sites, marketing pages, interactive articles","Static dashboards, data tables, forms, accessibility-critical apps, print layouts","✓ Full","✓ Full","⚡ Excellent (CSS-only)","✓ WCAG AA (with reduced-motion)","✓ High","✓ High","Vanilla CSS 10/10, Tailwind 9/10, React 9/10","2024+ Modern CSS","Medium","@keyframes reveal { from { opacity: 0; transform: translateY(30px); } to { opacity: 1; transform: translateY(0); } } .scroll-reveal { animation: reveal linear; animation-timeline: view(); animation-range: entry 10% cover 30%; } @keyframes parallax { to { transform: translateY(-50%); } } .scroll-parallax { animation: parallax linear; animation-timeline: scroll(); } .scroll-progress { position: fixed; top: 0; left: 0; height: 3px; background: #3B82F6; animation: progress linear; animation-timeline: scroll(); } @keyframes progress { from { transform: scaleX(0); } to { transform: scaleX(1); } } @media (prefers-reduced-motion: reduce) { .scroll-reveal, .scroll-parallax { animation: none; opacity: 1; transform: none; } }","{""type"":""linear"",""ease"":""linear""}","{""hidden"":{""opacity"":0,""y"":30},""visible"":{""opacity"":1,""y"":0},""parallax"":{""y"":""-50%""}}"
"76","Navbar Glassmorphism States","Component","navbar scroll header sticky glassmorphism blur compact shrink states fixed navigation transparent height transition scroll-driven","Transparent default: rgba(255,255,255,0.1), Scrolled: rgba(255,255,255,0.95), Dark mode: rgba(15,23,42,0.95)","Border glow: rgba(255,255,255,0.2), Shadow: rgba(0,0,0,0.08), Accent CTA: #3B82F6, Text: #1F2937 light / #F1F5F9 dark","backdrop-filter blur (12-20px), box-shadow on scroll, height transition (80px→56px), logo scale, border-bottom appear, CTA glow pulse, CSS scroll-driven animation","Modern landing pages, SaaS headers, fintech dashboards, tech company sites, product pages, startup landing","Static content sites, print layouts, sites requiring maximum viewport space, accessibility-critical apps","✓ Full","✓ Full","⚡ Good (blur has GPU cost)","✓ WCAG AA","✓ High","✓ High","Tailwind 10/10, CSS 10/10, React 10/10, Next.js 10/10","2026 Modern","Low","/* CSS Scroll-Driven Animation (2026 - 90%+ browser support) */ @supports (animation-timeline: scroll()) { .navbar { position: fixed; top: 0; left: 0; right: 0; z-index: 50; height: 80px; animation: navbar-shrink linear both; animation-timeline: scroll(root block); animation-range: 0px 100px; } @keyframes navbar-shrink { from { height: 80px; padding: 1.5rem 2rem; background: transparent; backdrop-filter: blur(0); box-shadow: none; } to { height: 56px; padding: 0.75rem 2rem; background: rgba(255,255,255,0.95); backdrop-filter: blur(12px); box-shadow: 0 4px 20px rgba(0,0,0,0.08); border-bottom: 1px solid rgba(0,0,0,0.05); } } } /* JS Fallback for older browsers */ .navbar { position: fixed; top: 0; left: 0; right: 0; z-index: 50; height: 80px; padding: 1.25rem 2rem; background: transparent; transition: all 0.4s cubic-bezier(0.4, 0, 0.2, 1); } .navbar.scrolled { height: 56px; padding: 0.75rem 2rem; background: rgba(255,255,255,0.95); backdrop-filter: blur(12px); -webkit-backdrop-filter: blur(12px); box-shadow: 0 4px 20px rgba(0,0,0,0.08); border-bottom: 1px solid rgba(0,0,0,0.05); } .navbar-dark.scrolled { background: rgba(15,23,42,0.95); border-bottom: 1px solid rgba(255,255,255,0.1); } .navbar-logo { transition: transform 0.3s ease; } .navbar.scrolled .navbar-logo { transform: scale(0.9); } .navbar-link { transition: color 0.2s ease; } .navbar-cta { padding: 0.5rem 1.25rem; border-radius: 0.5rem; background: #3B82F6; color: white; transition: all 0.3s ease; } .navbar.scrolled .navbar-cta { box-shadow: 0 0 20px rgba(59,130,246,0.4); } /* Mobile menu state */ .mobile-menu { max-height: 0; opacity: 0; overflow: hidden; transition: max-height 0.35s ease, opacity 0.3s ease; } .mobile-menu.active { max-height: 400px; opacity: 1; } /* JS Fallback: if (!CSS.supports('animation-timeline', 'scroll()')) { window.addEventListener('scroll', () => { navbar.classList.toggle('scrolled', window.scrollY > 50); }); } */","{""type"":""tween"",""ease"":""cubicBezier(0.4, 0, 0.2, 1)"",""duration"":0.4}","{""default"":{""height"":""80px"",""background"":""transparent"",""padding"":""1.25rem 2rem"",""backdropFilter"":""none""},""scrolled"":{""height"":""56px"",""background"":""rgba(255,255,255,0.95)"",""padding"":""0.75rem 2rem"",""backdropFilter"":""blur(12px)"",""boxShadow"":""0 4px 20px rgba(0,0,0,0.08)""},""mobile"":{""maxHeight"":0,""opacity"":0},""mobileActive"":{""maxHeight"":""400px"",""opacity"":1}}"
"77","Theme Toggle","Component","dark mode light mode toggle switch sun moon theme icon animation transition color scheme switcher","transparent button, subtle hover background, system-ui font","Sun: #F59E0B, Moon: #6366F1, Toggle BG: rgba(0,0,0,0.1), Hover: rgba(0,0,0,0.05)","Sun/moon rotation animation, smooth theme transition, icon swap, opacity crossfade","Any site with dark/light mode, SaaS apps, blogs, portfolios, documentation sites","Sites without theme switching, print-only layouts","✓ Full","✓ Full","⚡ Excellent","✓ WCAG AA","✓ High","✓ High","Tailwind 10/10, CSS 10/10, React 10/10","2024+ Modern","Low",".theme-toggle { position: relative; width: 40px; height: 40px; border-radius: 50%; background: transparent; border: none; cursor: pointer; transition: background 0.2s ease; } .theme-toggle:hover { background: rgba(0,0,0,0.05); } .theme-toggle .sun, .theme-toggle .moon { position: absolute; inset: 0; display: flex; align-items: center; justify-content: center; transition: transform 0.4s cubic-bezier(0.4, 0, 0.2, 1), opacity 0.3s ease; } .theme-toggle .sun { color: #F59E0B; } .theme-toggle .moon { color: #6366F1; opacity: 0; transform: rotate(-90deg) scale(0.5); } .dark .theme-toggle .sun { opacity: 0; transform: rotate(90deg) scale(0.5); } .dark .theme-toggle .moon { opacity: 1; transform: rotate(0) scale(1); } .dark .theme-toggle:hover { background: rgba(255,255,255,0.1); }","{""type"":""spring"",""stiffness"":200,""damping"":20}","{""sun"":{""rotate"":0,""scale"":1,""opacity"":1},""moon"":{""rotate"":-90,""scale"":0.5,""opacity"":0},""sunHidden"":{""rotate"":90,""scale"":0.5,""opacity"":0},""moonVisible"":{""rotate"":0,""scale"":1,""opacity"":1}}"
"78","Bento Grid Layout","Layout","bento grid modular apple feature showcase responsive sections dashboard cards asymmetric tiles visual hierarchy scannable","Neutral backgrounds #F5F5F7 #FFFFFF, Accent highlights varies by brand, Dark #1D1D1F","Subtle shadows rgba(0,0,0,0.04), Gradient cards, Accent borders, Video thumbnail overlays","Rounded corners (20-24px), subtle shadows (0 2px 8px), consistent spacing (12-16px gap), responsive reflow, CSS Grid variable spans","Feature showcases, dashboards, landing pages, portfolio sites, product marketing, SaaS feature grids, Apple-style layouts","Dense data tables, real-time monitoring, text-heavy content, linear reading flows","✓ Full","✓ Full","⚡ Excellent","✓ WCAG AA","✓ High","✓ Very High","CSS Grid 10/10, Tailwind 10/10, React 10/10, Framer 9/10","2024+ Apple/Linear","Low",".bento-layout { display: grid; grid-template-columns: repeat(4, 1fr); grid-auto-rows: minmax(180px, auto); gap: 16px; padding: 16px; background: #F5F5F7; } .bento-card { background: #FFFFFF; border-radius: 24px; padding: 24px; overflow: hidden; transition: all 300ms cubic-bezier(0.4, 0, 0.2, 1); } .bento-card:hover { transform: scale(1.02); box-shadow: 0 20px 40px rgba(0,0,0,0.08); } .bento-hero { grid-column: span 2; grid-row: span 2; } .bento-wide { grid-column: span 2; } .bento-tall { grid-row: span 2; } @media (max-width: 768px) { .bento-layout { grid-template-columns: 1fr; } .bento-hero, .bento-wide { grid-column: span 1; } }","{""type"":""tween"",""ease"":""cubicBezier(0.4, 0, 0.2, 1)"",""duration"":0.3}","{""hidden"":{""opacity"":0,""y"":20,""scale"":0.98},""visible"":{""opacity"":1,""y"":0,""scale"":1},""hover"":{""scale"":1.02,""boxShadow"":""0 20px 40px rgba(0,0,0,0.08)""}}"
"79","Neubrutalism 2026","Visual","neubrutalism brutal bold borders thick shadows high contrast raw accessible chunky offset playful Gen-Z anti-design","Saturated primaries: #FF6B6B (Coral Red), #4ECDC4 (Teal), #FFE66D (Yellow), #000000 (Black)","Limited palette, no gradients, high contrast only: #FFFFFF, #95E1D3, #F38181, accent varies","Hard 4px black borders, chunky box-shadow (4-6px offset), no border-radius (0px), bold 700-900 typography, instant transitions","Creative portfolios, indie games, editorial sites, Gen-Z products, Figma-style apps, personal blogs, startups","Luxury brands, finance, healthcare, conservative industries, elderly users, accessibility-critical","✓ Full","✓ Full","⚡ Excellent","✓ WCAG AAA","✓ High","✓ High","Tailwind 10/10, Plain CSS 10/10, React 10/10","2024+ Modern Retro","Low",".neubrutalism { background: #FFE66D; border: 4px solid #000000; border-radius: 0; box-shadow: 6px 6px 0 #000000; font-weight: 800; transition: all 100ms ease; } .neubrutalism:hover { transform: translate(-3px, -3px); box-shadow: 9px 9px 0 #000000; } .neubrutalism:active { transform: translate(3px, 3px); box-shadow: 3px 3px 0 #000000; } .neubrutalism-card { background: #FFFFFF; border: 4px solid #000000; padding: 24px; } .neubrutalism-btn { background: #FF6B6B; color: #000000; border: 4px solid #000000; padding: 12px 24px; font-weight: 900; text-transform: uppercase; cursor: pointer; } .neubrutalism-btn:hover { background: #4ECDC4; }","{""type"":""spring"",""stiffness"":300,""damping"":15}","{""hidden"":{""opacity"":0,""x"":-10},""visible"":{""opacity"":1,""x"":0},""hover"":{""x"":-3,""y"":-3},""active"":{""x"":3,""y"":3}}"
"80","Organic Biophilic","Visual","organic biophilic nature earthy fluid shapes anti-grid wellness sustainability curves blob natural texture breathing","Earth tones: Forest Green #2D5016, Terracotta #C84B31, Sand #E8DCC4, Warm White #FAF7F2","Natural gradients, sky blue #87CEEB, moss #8FBC8F, clay #D2691E, stone #A9A9A9, water #5F9EA0","Blob shapes (border-radius 40% 60%), organic curves, texture overlays, gradient blurs, fluid clip-paths, SVG morphing","Wellness apps, sustainable brands, meditation platforms, eco products, organic food, spa services, environmental nonprofits","Tech-focused products, gaming, industrial, urban brands, data-heavy dashboards","✓ Full","✓ Full","⚡ Excellent","✓ WCAG AA","✓ High","✓ High","Tailwind 10/10, CSS 10/10, SVG 10/10","2024+ Sustainable","Medium",".biophilic-organic { background: linear-gradient(180deg, #FAF7F2 0%, #E8DCC4 100%); } .biophilic-card { background: #FFFFFF; border-radius: 40% 60% 70% 30% / 40% 50% 60% 50%; padding: 32px; box-shadow: 0 8px 32px rgba(45,80,22,0.12); transition: border-radius 600ms ease, transform 400ms ease; } .biophilic-card:hover { border-radius: 60% 40% 30% 70% / 60% 30% 70% 40%; transform: scale(1.02); } .biophilic-blob { clip-path: ellipse(70% 60% at 50% 50%); background: linear-gradient(135deg, #2D5016, #8FBC8F); } .biophilic-breathe { animation: breathe-organic 5s ease-in-out infinite; } @keyframes breathe-organic { 0%, 100% { transform: scale(1); opacity: 0.9; } 50% { transform: scale(1.03); opacity: 1; } } .biophilic-accent { color: #2D5016; }","{""type"":""spring"",""stiffness"":40,""damping"":20,""mass"":1.5}","{""hidden"":{""opacity"":0,""scale"":0.95},""visible"":{""opacity"":1,""scale"":1},""hover"":{""scale"":1.02,""borderRadius"":""60% 40% 30% 70% / 60% 30% 70% 40%""},""breathe"":{""scale"":[1,1.03,1],""opacity"":[0.9,1,0.9],""transition"":{""duration"":5,""repeat"":""Infinity""}}}"
"81","VisionOS Spatial","Platform","visionOS spatial computing depth layering glass material Apple Vision Pro 3D UI floating panels immersive AR VR","Translucent white rgba(255,255,255,0.15-0.30), System Blue #007AFF, System Gray #8E8E93, Deep space #000814","Vibrancy tints, depth shadows, ambient lighting rgba(124,58,237,0.2), focus ring #0A84FF, surface highlight rgba(255,255,255,0.4)","Multi-layer glass (backdrop-filter 40-60px), depth shadows (layered), environment lighting, volumetric feel, perspective transforms, z-depth parallax","VR/AR interfaces, VisionOS apps, immersive dashboards, futuristic products, spatial computing, Apple ecosystem, 3D showcases","2D-only platforms, low-end devices, text-heavy content, accessibility-critical apps, budget projects","✓ Full","✓ Full (dark native)","⚠ Moderate (GPU)","⚠ Depth perception","◐ Medium","✓ High","SwiftUI 10/10, Three.js 10/10, R3F 9/10, CSS 8/10","2026 Spatial Era","High",".visionos-spatial { perspective: 1200px; transform-style: preserve-3d; background: #000814; } .visionos-panel { background: rgba(255,255,255,0.18); backdrop-filter: blur(50px) saturate(200%); -webkit-backdrop-filter: blur(50px) saturate(200%); border-radius: 36px; border: 1px solid rgba(255,255,255,0.25); box-shadow: 0 25px 60px rgba(0,0,0,0.3), inset 0 1px 0 rgba(255,255,255,0.4); transition: all 400ms cubic-bezier(0.4, 0, 0.2, 1); } .visionos-panel:hover { transform: scale(1.03) translateZ(25px); box-shadow: 0 35px 80px rgba(0,0,0,0.35), inset 0 1px 0 rgba(255,255,255,0.5); } .visionos-depth-1 { transform: translateZ(0); } .visionos-depth-2 { transform: translateZ(40px); } .visionos-depth-3 { transform: translateZ(80px); } .visionos-glow { box-shadow: 0 0 50px rgba(0,122,255,0.3); } .visionos-button { background: #007AFF; border-radius: 18px; padding: 14px 28px; color: white; }","{""type"":""spring"",""stiffness"":50,""damping"":22,""mass"":1.4}","{""hidden"":{""opacity"":0,""z"":-80,""scale"":0.92},""visible"":{""opacity"":1,""z"":0,""scale"":1},""hover"":{""z"":25,""scale"":1.03},""focus"":{""boxShadow"":""0 0 0 4px rgba(0,122,255,0.5)""}}"
"82","Conversational AI","Component","conversational AI chat interface streaming bubble assistant chatbot NLP message typing indicator real-time dialogue","Neutral bubbles #F3F4F6, AI accent #7C3AED (Purple), User #3B82F6 (Blue), Background #FAFAFA","Typing indicator #9CA3AF, Success #10B981, Error #EF4444, Link #60A5FA, Code block #1E293B","Typing indicator (3-dot bounce), message bubble slide-up animations, streaming text reveal (typewriter), smooth auto-scroll","AI assistants, chatbots, customer support widgets, copilot UIs, conversational commerce, help desks, virtual agents","Static content pages, data dashboards, forms-heavy interfaces, print layouts","✓ Full","✓ Full","⚡ Excellent","✓ WCAG AA","✓ High","✓ High","React 10/10, Tailwind 10/10, Framer Motion 9/10, Vue 9/10","2026 AI-Native","Medium",".chat-container { display: flex; flex-direction: column; max-height: 80vh; overflow-y: auto; padding: 16px; background: #FAFAFA; scroll-behavior: smooth; } .chat-bubble { max-width: 75%; padding: 12px 16px; border-radius: 18px; margin: 4px 0; animation: bubble-in 0.3s ease; } @keyframes bubble-in { from { opacity: 0; transform: translateY(10px); } to { opacity: 1; transform: translateY(0); } } .chat-bubble-user { background: #3B82F6; color: white; align-self: flex-end; border-bottom-right-radius: 4px; } .chat-bubble-ai { background: #F3F4F6; color: #1F2937; align-self: flex-start; border-bottom-left-radius: 4px; } .chat-typing { display: flex; gap: 4px; padding: 12px 16px; } .chat-typing span { width: 8px; height: 8px; background: #9CA3AF; border-radius: 50%; animation: typing-dot 1.4s infinite; } .chat-typing span:nth-child(2) { animation-delay: 0.2s; } .chat-typing span:nth-child(3) { animation-delay: 0.4s; } @keyframes typing-dot { 0%, 60%, 100% { transform: translateY(0); } 30% { transform: translateY(-8px); } } .chat-streaming { display: inline; } .chat-cursor { display: inline-block; width: 2px; height: 1em; background: #7C3AED; animation: cursor-blink 1s step-end infinite; } @keyframes cursor-blink { 50% { opacity: 0; } }","{""type"":""spring"",""stiffness"":150,""damping"":18}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""messageIn"":{""opacity"":[0,1],""y"":[10,0],""transition"":{""duration"":0.3}},""typing"":{""y"":[0,-8,0],""transition"":{""duration"":0.6,""repeat"":""Infinity"",""repeatDelay"":0.2}}}"
