No,Pattern Name,Keywords,Section Order,Primary CTA Placement,Color Strategy,Recommended Effects,Conversion Optimization,Layout_CSS,Grid_System_Config,Bento_Layout_Map,Responsive_Strategy,Platform_Support,Mobile_Adaptation,Safe_Area_CSS,Gesture_Hints
57,Mobile Multi-Window Layout,multi-window split screen picture-in-picture PiP Android freeform iPad Stage Manager resize window,Resizable Container | Window Chrome | Resize Handle | PiP Overlay | Window Stack,Persistent CTA in each window,"Window chrome: rgba(255,255,255,0.95). Active window: Full opacity. Inactive: 0.95 opacity. Resize handle: #9CA3AF.","Window resize spring animation, PiP enter/exit transition, window focus elevation change, drag reposition smooth",Support Android 16 resizability (>600dp). Design for minimum viable window size. Maintain usability in PiP. Handle window focus states. iPad Stage Manager compatible.,".window-container { position: relative; width: 100%; height: 100%; min-width: 320px; min-height: 400px; } .app-window { position: absolute; background: white; border-radius: 12px; box-shadow: 0 8px 32px rgba(0,0,0,0.12); overflow: hidden; } .app-window.focused { box-shadow: 0 12px 48px rgba(0,0,0,0.2); z-index: 10; } .window-chrome { height: 44px; background: rgba(255,255,255,0.95); backdrop-filter: blur(12px); cursor: grab; } .pip-window { position: fixed; bottom: 24px; right: 24px; width: 180px; aspect-ratio: 16/9; border-radius: 12px; z-index: 1000; }","{""cols"":""dynamic"",""gap"":""8px"",""container"":""viewport""}","[{""id"":""window"",""colSpan"":""resizable"",""rowSpan"":""resizable""}]",Adapt to available window size. Support minimum dimensions. Handle PiP separately.,,,,
58,Mobile App Onboarding Pattern,onboarding walkthrough tutorial first-run welcome carousel pager dots skip progress permission request value prop,Pager Container | Page Slides | Progress Dots | Skip Button | CTA Button | Permission Request,Final slide strong CTA + Skip always visible,"Background: Gradient or brand color. Text: High contrast white. Dots: Inactive rgba(255,255,255,0.4), Active white. CTA: Contrasting solid button.","Page swipe with parallax layers, dot active animation, content fade/slide entrance, permission prompt animation, confetti on complete",Limit to 3-5 screens max. Show value before asking permissions. Always provide skip option. Use visual storytelling. 40% higher completion with progress indicators.,".onboarding-container { height: 100vh; height: 100dvh; display: flex; flex-direction: column; background: linear-gradient(135deg, var(--primary) 0%, var(--primary-dark) 100%); } .onboarding-pager { flex: 1; display: flex; overflow-x: auto; scroll-snap-type: x mandatory; } .onboarding-slide { flex: 0 0 100%; scroll-snap-align: start; display: flex; flex-direction: column; align-items: center; justify-content: center; padding: 40px 24px; color: white; } .progress-dots { display: flex; gap: 8px; } .dot { width: 8px; height: 8px; border-radius: 50%; background: rgba(255,255,255,0.4); } .dot.active { width: 24px; border-radius: 4px; background: white; }","{""cols"":1,""gap"":""0"",""container"":""100dvh""}","[{""id"":""pager"",""colSpan"":1,""rowSpan"":1,""fullscreen"":true}]",Mobile: Full screen pager. Tablet: Centered modal option. Desktop: Side-by-side layout.,,,,
59,Mobile Quick Actions Pattern,quick actions FAB floating action button speed dial contextual menu shortcuts radial thumb zone bottom sheet,FAB Button | Speed Dial Menu | Action Items | Backdrop Overlay | Tooltip Labels,Primary action most prominent and accessible,"FAB: Brand primary with shadow. Actions: White bg or primary variants. Backdrop: rgba(0,0,0,0.5). Labels: Dark on light tooltip.","FAB rotation on expand, staggered action appearance, backdrop fade, action hover scale, ripple effect on tap",Place FAB in thumb-friendly zone (bottom-right). Limit to 3-6 actions. Most used action = primary FAB. Expand upward or radially. Include labels for clarity.,".fab-container { position: fixed; bottom: calc(24px + env(safe-area-inset-bottom)); right: 24px; z-index: 50; } .fab { width: 56px; height: 56px; border-radius: 16px; background: var(--primary, #3B82F6); color: white; border: none; box-shadow: 0 4px 12px rgba(59,130,246,0.4); } .fab.expanded { transform: rotate(45deg); border-radius: 50%; } .speed-dial { position: absolute; bottom: 72px; right: 0; display: flex; flex-direction: column-reverse; gap: 12px; opacity: 0; } .speed-dial.open { opacity: 1; } .dial-action-btn { width: 48px; height: 48px; border-radius: 12px; background: white; box-shadow: 0 2px 8px rgba(0,0,0,0.15); }","{""cols"":1,""gap"":""12px"",""container"":""fixed""}","[{""id"":""fab"",""colSpan"":1,""rowSpan"":1,""position"":""fixed""}]",Mobile: Bottom-right FAB. Tablet: Can use extended FAB with label. Desktop: Consider toolbar.,,,,
60,Mobile Pull-to-Refresh Pattern,pull refresh PTR gesture loading spinner iOS Android spring overscroll custom indicator fetch update,Pull Zone | Progress Indicator | Loading Spinner | Content Container | Spring Animation,Refresh reveals updated content with feedback,Indicator: Brand primary. Background pull zone: #F3F4F6. Spinner: Brand primary. Success: #10B981.,"Rubber-band pull effect, spinner rotation, checkmark success animation, content fade refresh, haptic on trigger",Threshold ~80px before triggering. Show clear visual feedback during pull. Indicate loading state. Success feedback before hiding. Support custom indicators.,".ptr-container { position: relative; overflow-y: auto; -webkit-overflow-scrolling: touch; overscroll-behavior-y: contain; } .ptr-indicator { position: absolute; top: 0; left: 0; right: 0; height: 80px; display: flex; align-items: center; justify-content: center; transform: translateY(-100%); } .ptr-indicator.pulling { transform: translateY(0); } .ptr-spinner { width: 32px; height: 32px; border: 3px solid #E5E7EB; border-top-color: var(--primary, #3B82F6); border-radius: 50%; } .ptr-indicator.loading .ptr-spinner { animation: ptr-spin 0.8s linear infinite; } @keyframes ptr-spin { to { transform: rotate(360deg); } }","{""cols"":1,""gap"":""0"",""container"":""100%""}","[{""id"":""ptr"",""colSpan"":1,""rowSpan"":1,""sticky"":""top""}]",Mobile: Native-feel pull gesture. Tablet/Desktop: Can add manual refresh button as fallback.,,,,
61,Mobile Infinite Scroll Pattern,infinite scroll endless pagination load more lazy loading virtualized list intersection observer windowing recycler,Scroll Container | Item List | Loading Trigger | Loading Indicator | End Message | Virtual Window,Load more CTA as fallback option,Loading indicator: Brand primary spinner. End message: #9CA3AF muted text. Item bg: Standard content styling.,"Loading spinner entrance, new items fade-in stagger, smooth scroll position maintenance, skeleton placeholders",Trigger load ~200px before end. Show loading indicator. Handle end-of-content gracefully. Consider virtualization for 1000+ items. Maintain scroll position on load.,".infinite-container { height: 100%; overflow-y: auto; -webkit-overflow-scrolling: touch; } .infinite-list { display: flex; flex-direction: column; } .infinite-item { padding: 16px; border-bottom: 1px solid rgba(0,0,0,0.08); } .infinite-loader { display: flex; align-items: center; justify-content: center; padding: 24px; } .infinite-spinner { width: 24px; height: 24px; border: 2px solid #E5E7EB; border-top-color: var(--primary); border-radius: 50%; animation: spin 0.8s linear infinite; } @keyframes spin { to { transform: rotate(360deg); } } .infinite-end { text-align: center; padding: 24px; color: #9CA3AF; }","{""cols"":1,""gap"":""0"",""container"":""100%""}","[{""id"":""list"",""colSpan"":1,""rowSpan"":""dynamic""}]",Mobile: Infinite scroll preferred. Desktop: Can offer pagination alternative. Handle slow networks.,,,,
62,Bottom Tab Navigation,bottom tab bar mobile navigation thumb zone iOS Android Material 3 safe area destinations badge,1. Tab Bar Container 2. Tab Items (3-5) 3. Active Indicator 4. Badge Notifications,Center primary action in thumb-friendly zone,"Active: Brand primary. Inactive: #9CA3AF. Badge: #EF4444. Background: rgba(255,255,255,0.95) with blur.",Active tab scale with spring animation; badge pulse; ripple on tap; haptic feedback,Limit to 3-5 destinations. Place most important action center. Use filled icons for active. 25% higher retention than hamburger.,".bottom-tab-bar { position: fixed; bottom: 0; left: 0; right: 0; height: calc(56px + env(safe-area-inset-bottom)); padding-bottom: env(safe-area-inset-bottom); background: rgba(255,255,255,0.95); backdrop-filter: blur(12px); display: flex; justify-content: space-around; align-items: center; border-top: 1px solid rgba(0,0,0,0.08); } .tab-item { display: flex; flex-direction: column; align-items: center; gap: 4px; padding: 8px 16px; min-width: 64px; } .tab-item.active { color: var(--primary); }","{""cols"":5,""gap"":""0"",""container"":""100%""}","[{""id"":""tab"",""colSpan"":1,""rowSpan"":1,""repeat"":5}]",Mobile-only pattern. Hide on desktop or transform to sidebar.,mobile,Native mobile navigation; replaces hamburger menu; thumb-optimized placement,padding-bottom: env(safe-area-inset-bottom);,tap to navigate; long-press for quick actions
63,Drawer Navigation,drawer navigation slide menu hamburger sidebar mobile Android iOS overlay,1. Hamburger Trigger 2. Overlay Backdrop 3. Drawer Panel 4. Navigation Items 5. User Profile Section,Prominent items at top within thumb reach,"Drawer bg: #FFFFFF. Overlay: rgba(0,0,0,0.5). Active item: Brand primary bg. Dividers: rgba(0,0,0,0.08).",Slide-in from left with spring physics; backdrop fade; items stagger entrance; swipe to close,Use for 5+ navigation items. Include user profile section. Support swipe-to-close gesture.,".drawer-overlay { position: fixed; inset: 0; background: rgba(0,0,0,0.5); z-index: 100; } .drawer-panel { position: fixed; top: 0; left: 0; bottom: 0; width: 280px; max-width: 80vw; background: white; transform: translateX(-100%); transition: transform 0.35s cubic-bezier(0.4,0,0.2,1); }","{""cols"":1,""gap"":""0"",""container"":""280px""}","[{""id"":""drawer"",""colSpan"":1,""rowSpan"":1,""fullHeight"":true}]",Mobile: Full height drawer. Tablet: Can use permanent sidebar. Desktop: Persistent sidebar.,both,Full-height slide panel; edge swipe to open; overlay backdrop,padding: env(safe-area-inset-top) 0 env(safe-area-inset-bottom);,edge-swipe to open; swipe-left to close; tap backdrop to close
64,Stack Navigation,stack navigation push pop back gesture iOS Android screen transitions header bar,1. Navigation Header 2. Back Button 3. Title 4. Action Buttons 5. Content Area,Action buttons in header right; back always accessible,"Header bg: rgba(255,255,255,0.95) with blur. Back icon: #000000. Title: #1F2937. Actions: Brand primary.",Push/pop screen transitions; iOS swipe-back gesture; header title fade; shared element transitions,Support native back gesture. Maintain scroll position on return. Use shared element transitions.,".stack-header { position: fixed; top: 0; left: 0; right: 0; height: calc(56px + env(safe-area-inset-top)); padding-top: env(safe-area-inset-top); background: rgba(255,255,255,0.95); backdrop-filter: blur(12px); }","{""cols"":1,""gap"":""0"",""container"":""100%""}","[{""id"":""header"",""colSpan"":1,""rowSpan"":1,""sticky"":true}]",Mobile: Full-screen stack. Tablet: Can show master-detail. Desktop: Breadcrumb alternative.,mobile,Full-screen push/pop; native back gesture support; header transforms,padding-top: calc(56px + env(safe-area-inset-top));,edge-swipe-back (iOS); system back button (Android); tap back button
65,Bottom Sheet Actions,bottom sheet modal actions drawer iOS Android Material 3 contextual menu snap points,1. Sheet Handle 2. Header with Title 3. Action List 4. Cancel Button 5. Safe Area Padding,Primary action most prominent; cancel always at bottom,"Sheet bg: #FFFFFF. Handle: rgba(0,0,0,0.2). Actions: #1F2937. Destructive: #EF4444.",Spring animation on open; snap to detents (peek/half/full); swipe down to dismiss; backdrop fade,Use for contextual actions. Support multiple snap points. Include cancel action.,.bottom-sheet { position: fixed; bottom: 0; left: 0; right: 0; background: white; border-radius: 16px 16px 0 0; padding-bottom: env(safe-area-inset-bottom); },"{""cols"":1,""gap"":""0"",""container"":""100%""}","[{""id"":""sheet"",""colSpan"":1,""rowSpan"":1,""position"":""bottom""}]",Mobile: Bottom sheet. Tablet: Can use popover. Desktop: Dropdown menu or modal.,mobile,Bottom-anchored modal; multiple snap points; swipe to dismiss,padding-bottom: env(safe-area-inset-bottom);,swipe-down to dismiss; tap action to select; tap backdrop to close
66,Modal Full Screen,modal fullscreen overlay dialog mobile iOS Android presentation sheet,1. Modal Header with Close 2. Content Area 3. Action Footer 4. Safe Area Handling,Close button top-left/right; primary action in footer,"Modal bg: #FFFFFF. Close icon: #000000. Footer bg: rgba(255,255,255,0.95). Primary button: Brand.",Slide up from bottom; fade backdrop; close button rotation; content fade-in stagger,Use for focused tasks. Always provide close option. Trap focus within modal.,".fullscreen-modal { position: fixed; inset: 0; background: white; z-index: 200; transform: translateY(100%); transition: transform 0.4s cubic-bezier(0.4,0,0.2,1); }","{""cols"":1,""gap"":""0"",""container"":""100%""}","[{""id"":""modal"",""colSpan"":1,""rowSpan"":1,""fullscreen"":true}]",Mobile: Full screen takeover. Tablet: Large centered modal. Desktop: Standard modal dialog.,both,Full viewport coverage; slide-up presentation; sticky header/footer,padding: env(safe-area-inset-top) 0 env(safe-area-inset-bottom);,swipe-down to dismiss (optional); tap close button
67,Floating Action Button,FAB floating action button Material 3 primary action speed dial quick actions extended,1. FAB Container 2. Primary FAB 3. Speed Dial Actions (optional) 4. Extended Label (optional),Bottom-right thumb zone; elevated above content,"FAB bg: Brand primary. Icon: White. Shadow: 0 4px 12px rgba(primary,0.4). Speed dial: White bg.",Scale bounce on tap; rotation on expand; staggered speed dial reveal; ripple effect,Single primary action per screen. Position in thumb zone. Use speed dial for 3-6 related actions.,.fab-container { position: fixed; bottom: calc(24px + env(safe-area-inset-bottom)); right: 24px; z-index: 50; } .fab { width: 56px; height: 56px; border-radius: 16px; background: var(--primary); },"{""cols"":1,""gap"":""0"",""container"":""fixed""}","[{""id"":""fab"",""colSpan"":1,""rowSpan"":1,""position"":""fixed""}]",Mobile: Standard FAB. Tablet: Can use extended FAB. Desktop: Consider inline button.,both,Elevated button in thumb zone; speed dial expansion; extended variant with label,bottom: calc(24px + env(safe-area-inset-bottom));,tap for primary action; long-press for speed dial
68,Segmented Control Tabs,segmented control tabs iOS toggle switch pill selector options mutually exclusive,1. Segment Container 2. Segment Options 3. Selection Indicator 4. Dividers,Selected segment clearly highlighted,"Container bg: rgba(0,0,0,0.06). Selected: White with shadow. Unselected: Transparent. Text: #1F2937.",Sliding indicator with spring physics; press feedback; color transition; haptic on change,Use for 2-4 mutually exclusive options. Equal width segments. iOS-style pill design.,".segmented-control { display: flex; background: rgba(0,0,0,0.06); border-radius: 8px; padding: 2px; } .segment { flex: 1; padding: 8px 16px; text-align: center; }","{""cols"":1,""gap"":""0"",""container"":""100%""}","[{""id"":""segmented"",""colSpan"":1,""rowSpan"":1}]",Mobile: Full width or inline. Tablet/Desktop: Can use traditional tabs.,both,Pill-style toggle; sliding indicator; equal-width segments,,tap to select; swipe horizontal to switch (optional)
69,Pull-to-Refresh List,pull to refresh PTR gesture loading spinner overscroll indicator fetch update content,1. Pull Zone 2. Progress Indicator 3. Loading Spinner 4. Content List 5. Spring Animation,Refresh indicator reveals updated content,Indicator: Brand primary. Pull zone bg: #F3F4F6. Spinner: Brand primary. Success: #10B981.,Rubber-band overscroll; spinner rotation; checkmark success; content fade refresh; haptic on trigger,Trigger threshold ~80px. Clear visual feedback during pull. Success feedback before hiding.,.ptr-container { position: relative; overflow-y: auto; -webkit-overflow-scrolling: touch; overscroll-behavior-y: contain; },"{""cols"":1,""gap"":""0"",""container"":""100%""}","[{""id"":""ptr-list"",""colSpan"":1,""rowSpan"":1}]",Mobile: Native pull gesture. Tablet/Desktop: Add manual refresh button as fallback.,mobile,Pull gesture with rubber-band effect; custom spinner; success feedback,,pull-down to trigger refresh; release to confirm
70,Swipeable Cards,swipeable cards swipe actions delete archive iOS Android gesture reveal actions,1. Card Container 2. Card Content 3. Left Actions 4. Right Actions 5. Swipe Indicator,Revealed actions in swipe direction,Card bg: #FFFFFF. Delete action: #EF4444. Archive action: #10B981. Other actions: Brand variants.,Card translation with resistance; action reveal progressive; snap to action or reset; haptic feedback,Reveal 1-2 actions per side. Use icons with labels. Snap threshold at 40% width.,.swipeable-card { position: relative; background: white; border-radius: 12px; overflow: hidden; touch-action: pan-y; },"{""cols"":1,""gap"":""12px"",""container"":""100%""}","[{""id"":""card"",""colSpan"":1,""rowSpan"":1,""swipeable"":true}]",Mobile: Full swipe gestures. Tablet: Can add visible action buttons. Desktop: Hover actions.,mobile,Horizontal swipe reveals actions; snap to complete or cancel,,swipe-left for right actions; swipe-right for left actions; tap action to execute
71,Onboarding Carousel,onboarding carousel walkthrough tutorial welcome pager intro slides first-run experience,1. Pager Container 2. Page Slides 3. Illustration/Animation 4. Progress Dots 5. Skip Button 6. CTA Button,Final slide strong CTA; Skip always visible,Background: Brand gradient or color. Text: High contrast white. Dots: Inactive 40% opacity Active 100%.,Page swipe with parallax; dot active scale; content entrance animations; confetti on completion,Limit to 3-5 screens. Show value proposition. Always provide skip. Progress indicator required.,.onboarding-container { height: 100dvh; display: flex; flex-direction: column; } .onboarding-pager { flex: 1; display: flex; overflow-x: auto; scroll-snap-type: x mandatory; },"{""cols"":1,""gap"":""0"",""container"":""100dvh""}","[{""id"":""pager"",""colSpan"":1,""rowSpan"":1,""fullscreen"":true}]",Mobile: Full screen pager. Tablet: Centered modal option. Desktop: Side-by-side layout.,both,Full-screen swipeable pages; parallax illustrations; progress indication,padding: env(safe-area-inset-top) 0 env(safe-area-inset-bottom);,swipe-horizontal to navigate; tap dots to jump; tap skip to bypass
72,Bottom Tab + FAB Hybrid,bottom tab FAB hybrid navigation floating action Material 3 combined primary action tabs,1. Tab Bar Container 2. Tab Items (4) 3. Center FAB Notch 4. Floating Action Button 5. Safe Area,Center FAB for primary action; tabs for navigation,Tab bg: #FFFFFF. FAB: Brand primary elevated. Active tab: Brand. Inactive: #9CA3AF.,FAB bounce on tap; tab switch animation; notch curve transition; ripple effects,Combine navigation with primary action. FAB elevated above tab bar. Maximum 4 tabs + FAB.,.hybrid-bottom-bar { position: fixed; bottom: 0; left: 0; right: 0; height: calc(64px + env(safe-area-inset-bottom)); display: flex; justify-content: space-around; },"{""cols"":5,""gap"":""0"",""container"":""100%""}","[{""id"":""tab"",""colSpan"":1,""rowSpan"":1,""repeat"":2},{""id"":""fab"",""colSpan"":1,""elevated"":true}]",Mobile: Hybrid bar. Tablet: Extended navigation. Desktop: Sidebar with action button.,mobile,Tab bar with elevated center FAB; notch design; combined navigation and action,padding-bottom: env(safe-area-inset-bottom);,tap tabs to navigate; tap FAB for primary action
73,Collapsible Header,collapsible header scroll shrink parallax large title iOS Android toolbar transform,1. Expanded Header State 2. Collapsed Header State 3. Large Title 4. Compact Title 5. Background,Primary action in header; visible in both states,Expanded: Brand gradient or image. Collapsed: Solid with blur. Title: White on expanded.,Smooth height interpolation; title scale and position morph; parallax background; blur reveal,Large title for hierarchy. Smooth transition on scroll. Keep essential actions visible.,.collapsible-header { position: sticky; top: 0; z-index: 50; } .header-expanded { height: calc(200px + env(safe-area-inset-top)); },"{""cols"":1,""gap"":""0"",""container"":""100%""}","[{""id"":""header"",""colSpan"":1,""rowSpan"":1,""collapsible"":true}]",Mobile: Full collapsible behavior. Tablet/Desktop: Can use fixed header with hero.,both,Large expanded state; compact on scroll; smooth interpolation,padding-top: env(safe-area-inset-top);,scroll to collapse/expand; pull-down to fully expand
74,Sticky Action Bar,sticky action bar bottom CTA fixed purchase checkout mobile conversion persistent,1. Action Bar Container 2. Price/Summary Info 3. Primary CTA Button 4. Secondary Action,Primary CTA prominent; price visible if relevant,"Bar bg: rgba(255,255,255,0.95) with blur. CTA: Brand primary full width. Text: #1F2937.",Slide up on scroll intent; shadow separation; CTA pulse on idle; price update animation,Persistent conversion point. Show on scroll past hero. Include key info (price).,".sticky-action-bar { position: fixed; bottom: 0; left: 0; right: 0; background: rgba(255,255,255,0.95); backdrop-filter: blur(12px); padding: 12px 16px; }","{""cols"":1,""gap"":""0"",""container"":""100%""}","[{""id"":""action-bar"",""colSpan"":1,""rowSpan"":1,""sticky"":""bottom""}]",Mobile: Full-width sticky bar. Tablet: Can be narrower centered. Desktop: Inline CTA.,both,Bottom-fixed bar; appears on scroll; prominent CTA,padding-bottom: calc(12px + env(safe-area-inset-bottom));,tap CTA to convert; scroll triggers visibility
75,Edge Gesture Navigation,edge gesture navigation swipe back iOS Android system gesture indicator visual feedback,1. Edge Swipe Zone 2. Gesture Indicator 3. Visual Feedback Layer 4. Navigation Stack,Edge areas for navigation; content unobstructed,"Gesture indicator: rgba(0,0,0,0.1). Active: Brand at 20% opacity. Feedback: Subtle blur/scale.",Edge swipe reveals previous screen; indicator follows finger; screen parallax; haptic pulses,Design for thumb reachability. iOS/Android standard gestures. Visual feedback during gesture.,.gesture-container { position: relative; overflow: hidden; touch-action: manipulation; } .edge-zone { position: fixed; top: 0; bottom: 0; width: 20px; },"{""cols"":1,""gap"":""0"",""container"":""100%""}","[{""id"":""gesture-zone"",""colSpan"":1,""rowSpan"":1,""fullscreen"":true}]",Mobile: Full gesture support. Tablet: Edge gestures. Desktop: Mouse alternatives.,mobile,Edge swipe zones; visual indicator feedback; previous screen preview,,edge-swipe-left for back; edge-swipe-right for forward (if applicable)
